Inventory Report,,,,,,,,,,,,,,,,,Date:  6/4/26  12:42 PM EST   ,,
Inventory Date:  ,,1/1/00 to 5/31/26,,,,,,,,,,,,,,,,,
Account:  ,,Gould,,,,,,,,,,,,,,,,,
Plant:  ,,Madelia,,,,,,,,,,,,,,,,,
Paper Type:  ,,Rolls - All Paper Types,,,,,,,,,,,,,,,,,
Supplier:  ,,All Suppliers,,,,,,,,,,,,,,,,,
Definitions:  ,,Available: Not assigned;  Applied: Assigned but not consumed;  Rejected: Rejected but in plant;  WIP: Work In Process,,,,,,,,,,,,,,,,,
Sorted by:  ,,Printer and Stock Size,,,,,,,,,,,,,,,,,
Ownership,Printer,Plant,Received Date,Issue Date,End User PO#,Supplier,PO Number,Paper Type,Product Name,Grammage (g/m²),Roll Width,Roll ID,Roll Count,Available Quantity,Total Quantity,Price/mt,Cost,Net Price/mt,Net Cost
Supplier,Ogden Newspapers,Madelia,5/11/26,4/13/26,MN20260406,OVOL USA,531017021,Newsprint,Inland Newsprint,43 ,267.00 mm,IEP56E0222575,1,159,159,$759.73,$120.80,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,5/11/26,4/13/26,MN20260406,OVOL USA,531017021,Newsprint,Inland Newsprint,43 ,267.00 mm,IEP56E0222475,1,159,159,$759.73,$120.80,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,5/11/26,4/13/26,MN20260406,OVOL USA,531017021,Newsprint,Inland Newsprint,43 ,267.00 mm,IEP56E0222355,1,160,160,$759.73,$121.56,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,5/11/26,4/13/26,MN20260406,OVOL USA,531017021,Newsprint,Inland Newsprint,43 ,267.00 mm,IEP56E0222255,1,160,160,$759.73,$121.56,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,5/11/26,4/13/26,MN20260406,OVOL USA,531017021,Newsprint,Inland Newsprint,43 ,267.00 mm,IEP56E0222155,1,159,159,$759.73,$120.80,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,5/11/26,4/13/26,MN20260406,OVOL USA,531017021,Newsprint,Inland Newsprint,43 ,267.00 mm,IEP56E0221755,1,159,159,$759.73,$120.80,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,5/11/26,4/13/26,MN20260406,OVOL USA,531017021,Newsprint,Inland Newsprint,43 ,267.00 mm,IEP56D2017529,1,174,174,$759.73,$132.19,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,5/11/26,4/13/26,MN20260406,OVOL USA,531017021,Newsprint,Inland Newsprint,43 ,267.00 mm,IEP56D2017429,1,174,174,$759.73,$132.19,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,5/11/26,4/13/26,MN20260406,OVOL USA,531017021,Newsprint,Inland Newsprint,43 ,267.00 mm,IEP56D2017329,1,172,172,$759.73,$130.67,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,5/11/26,4/13/26,MN20260406,OVOL USA,531017021,Newsprint,Inland Newsprint,43 ,267.00 mm,IEP56D2017229,1,173,173,$759.73,$131.43,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,5/11/26,4/13/26,MN20260406,OVOL USA,531017021,Newsprint,Inland Newsprint,43 ,267.00 mm,IEP56D2017129,1,170,170,$759.73,$129.15,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,5/11/26,4/13/26,MN20260406,OVOL USA,531017021,Newsprint,Inland Newsprint,43 ,267.00 mm,IEP56D2016829,1,171,171,$759.73,$129.91,$0.00,$0.00
Quantity Subtotals: ,,,,,,,,,,,,,12,"1,990","1,990",,"$1,511.86",,$0.00
,,,,,,,,,,,,,,,,,,,
Supplier,Ogden Newspapers,Madelia,5/11/26,4/13/26,MN20260406,OVOL USA,531017021,Newsprint,Inland Newsprint,43 ,292.00 mm,IEP56E0301512,1,179,179,$759.73,$135.99,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,5/11/26,4/13/26,MN20260406,OVOL USA,531017021,Newsprint,Inland Newsprint,43 ,292.00 mm,IEP56E0222634,1,172,172,$759.73,$130.67,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,5/11/26,4/13/26,MN20260406,OVOL USA,531017021,Newsprint,Inland Newsprint,43 ,292.00 mm,IEP56E0222536,1,175,175,$759.73,$132.95,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,5/11/26,4/13/26,MN20260406,OVOL USA,531017021,Newsprint,Inland Newsprint,43 ,292.00 mm,IEP56E0222531,1,175,175,$759.73,$132.95,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,5/11/26,4/13/26,MN20260406,OVOL USA,531017021,Newsprint,Inland Newsprint,43 ,292.00 mm,IEP56E0222436,1,175,175,$759.73,$132.95,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,5/11/26,4/13/26,MN20260406,OVOL USA,531017021,Newsprint,Inland Newsprint,43 ,292.00 mm,IEP56E0222431,1,175,175,$759.73,$132.95,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,5/11/26,4/13/26,MN20260406,OVOL USA,531017021,Newsprint,Inland Newsprint,43 ,292.00 mm,IEP56E0221637,1,174,174,$759.73,$132.19,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,5/11/26,4/13/26,MN20260406,OVOL USA,531017021,Newsprint,Inland Newsprint,43 ,292.00 mm,IEP56E0221632,1,174,174,$759.73,$132.19,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,5/11/26,4/13/26,MN20260406,OVOL USA,531017021,Newsprint,Inland Newsprint,43 ,292.00 mm,IEP56E0221537,1,172,172,$759.73,$130.67,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,5/11/26,4/13/26,MN20260406,OVOL USA,531017021,Newsprint,Inland Newsprint,43 ,292.00 mm,IEP56E0221532,1,173,173,$759.73,$131.43,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,5/11/26,4/13/26,MN20260406,OVOL USA,531017021,Newsprint,Inland Newsprint,43 ,292.00 mm,IEP56E0221437,1,172,172,$759.73,$130.67,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,5/11/26,4/13/26,MN20260406,OVOL USA,531017021,Newsprint,Inland Newsprint,43 ,292.00 mm,IEP56E0221432,1,172,172,$759.73,$130.67,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,5/11/26,4/13/26,MN20260406,OVOL USA,531017021,Newsprint,Inland Newsprint,43 ,292.00 mm,IEP56E0221337,1,172,172,$759.73,$130.67,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,5/11/26,4/13/26,MN20260406,OVOL USA,531017021,Newsprint,Inland Newsprint,43 ,292.00 mm,IEP56E0221332,1,172,172,$759.73,$130.67,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,5/11/26,4/13/26,MN20260406,OVOL USA,531017021,Newsprint,Inland Newsprint,43 ,292.00 mm,IEP56E0221237,1,172,172,$759.73,$130.67,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,5/11/26,4/13/26,MN20260406,OVOL USA,531017021,Newsprint,Inland Newsprint,43 ,292.00 mm,IEP56E0221232,1,173,173,$759.73,$131.43,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,5/11/26,4/13/26,MN20260406,OVOL USA,531017021,Newsprint,Inland Newsprint,43 ,292.00 mm,IEP56E0221137,1,171,171,$759.73,$129.91,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,5/11/26,4/13/26,MN20260406,OVOL USA,531017021,Newsprint,Inland Newsprint,43 ,292.00 mm,IEP56E0221132,1,172,172,$759.73,$130.67,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,5/11/26,4/13/26,MN20260406,OVOL USA,531017021,Newsprint,Inland Newsprint,43 ,292.00 mm,IEP56E0216163,1,174,174,$759.73,$132.19,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,5/11/26,4/13/26,MN20260406,OVOL USA,531017021,Newsprint,Inland Newsprint,43 ,292.00 mm,IEP56E0216158,1,174,174,$759.73,$132.19,$0.00,$0.00
