Inventory Report,,,,,,,,,,,,,,,,Date:  6/4/26  5:10 PM EST   ,,
Inventory Date:  ,,4/30/26,,,,,,,,,,,,,,,,
Account:  ,,Gould,,,,,,,,,,,,,,,,
Plant:  ,,All Locations,,,,,,,,,,,,,,,,
Paper Type:  ,,Rolls - All Paper Types,,,,,,,,,,,,,,,,
Supplier:  ,,#ALL# / OVOL USA,,,,,,,,,,,,,,,,
Definitions:  ,,Available: Not assigned;  Applied: Assigned but not consumed;  Rejected: Rejected but in plant;  WIP: Work In Process,,,,,,,,,,,,,,,,
Sorted by:  ,,Printer,,,,,,,,,,,,,,,,
Ownership,Printer,Plant,Received Date,Issue Date,End User PO#,Supplier,PO Number,Paper Type,Product Name,Grammage (g/m²),Roll Width,Roll Count,Available Quantity,Total Quantity,Price/mt,Cost,Net Price/mt,Net Cost
Supplier,Ogden Newspapers,St. James,2/6/17,,,OVOL USA,MANUAL1107292-00,Hi-Brite,Inland Brite 92,74 ,318.00 mm,2,399,399,$909.37,$362.84,$0.00,$0.00
Supplier,Ogden Newspapers,St. James,5/4/18,,,OVOL USA,MANUAL1118667-00,Hi-Brite,Inland Brite 92,74 ,381.00 mm,4,976,976,$964.51,$941.36,$0.00,$0.00
Supplier,Ogden Newspapers,St. James,1/25/18,,,OVOL USA,MANUAL116198-00,Hi-Brite,Inland Brite 92,74 ,381.00 mm,2,510,510,$909.39,$463.79,$0.00,$0.00
Supplier,Ogden Newspapers,St. James,11/29/19,,,OVOL USA,MANUAL11192019B,Hi-Brite,Inland Brite 92,74 ,406.00 mm,0,518,518,"$1,082.91",$560.95,$0.00,$0.00
Supplier,Ogden Newspapers,St. James,8/24/18,,,OVOL USA,MANUAL1121614-00,Hi-Brite,Inland Brite 92,74 ,584.00 mm,1,377,377,"$1,021.85",$385.24,$0.00,$0.00
Supplier,Ogden Newspapers,St. James,8/24/18,,,OVOL USA,MANUAL1121614-00,Hi-Brite,Inland Brite 92,74 ,775.00 mm,3,"1,464","1,464","$1,021.85","$1,495.99",$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,12/30/25,,,OVOL USA,063000332025121,Newsprint,Kap Paper Newsprint,42.5 ,267.00 mm,0,"1,209","1,209",$670.40,$810.51,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,3/31/26,,,OVOL USA,06300033202621,Newsprint,Kap Paper Newsprint,42.5 ,267.00 mm,0,"1,521","1,521",$699.86,"$1,064.49",$0.00,$0.00
Supplier,Ogden Newspapers,St. James,12/19/16,,,OVOL USA,MANUAL12162016,Book,ResoluteBook 65,89.5 ,279.00 mm,2,360,360,$766.11,$275.80,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,10/27/25,,,OVOL USA,0630THUN2025102,Newsprint,Thunder Bay Newsprint,42.5 ,292.00 mm,0,516,516,$643.99,$332.30,$0.00,$0.00
Supplier,Ogden Newspapers,St. James,5/4/17,,,OVOL USA,063000022017052,Hi-Brite,Star Brite 80,51.8 ,305.00 mm,4,738,738,$750.00,$553.50,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,3/31/26,,,OVOL USA,06300033202621,Newsprint,Kap Paper Newsprint,42.5 ,305.00 mm,4,"1,044","1,044",$699.86,$730.65,$0.00,$0.00
