Inventory Report,,,,,,,,,,,,,,,,,Date:  6/4/26  12:43 PM EST   ,,
Inventory Date:  ,,1/1/00 to 5/31/26,,,,,,,,,,,,,,,,,
Account:  ,,Gould,,,,,,,,,,,,,,,,,
Plant:  ,,Minot,,,,,,,,,,,,,,,,,
Paper Type:  ,,Rolls - All Paper Types,,,,,,,,,,,,,,,,,
Supplier:  ,,All Suppliers,,,,,,,,,,,,,,,,,
Definitions:  ,,Available: Not assigned;  Applied: Assigned but not consumed;  Rejected: Rejected but in plant;  WIP: Work In Process,,,,,,,,,,,,,,,,,
Sorted by:  ,,Printer and Stock Size,,,,,,,,,,,,,,,,,
Ownership,Printer,Plant,Received Date,Issue Date,End User PO#,Supplier,PO Number,Paper Type,Product Name,Grammage (g/m²),Roll Width,Roll ID,Roll Count,Available Quantity,Total Quantity,Price/mt,Cost,Net Price/mt,Net Cost
Supplier,Ogden Newspapers,Minot,5/20/22,,,OVOL USA,0635004420220501,Hi-Brite,Inland Brite 72,52 ,279.00 mm,IEP52E1010726,1,182,182,"$1,055.00",$192.01,$0.00,$0.00
Supplier,Ogden Newspapers,Minot,5/20/22,,,OVOL USA,0635004420220501,Hi-Brite,Inland Brite 72,52 ,279.00 mm,IEP52E1010721,1,182,182,"$1,055.00",$192.01,$0.00,$0.00
Supplier,Ogden Newspapers,Minot,5/20/22,,,OVOL USA,0635004420220501,Hi-Brite,Inland Brite 72,52 ,279.00 mm,IEP52E1010528,1,181,181,"$1,055.00",$190.96,$0.00,$0.00
Supplier,Ogden Newspapers,Minot,5/20/22,,,OVOL USA,0635004420220501,Hi-Brite,Inland Brite 72,52 ,279.00 mm,IEP52E1010523,1,181,181,"$1,055.00",$190.96,$0.00,$0.00
Supplier,Ogden Newspapers,Minot,5/20/22,,,OVOL USA,0635004420220501,Hi-Brite,Inland Brite 72,52 ,279.00 mm,IEP52E1010428,1,181,181,"$1,055.00",$190.96,$0.00,$0.00
Supplier,Ogden Newspapers,Minot,5/20/22,,,OVOL USA,0635004420220501,Hi-Brite,Inland Brite 72,52 ,279.00 mm,IEP52E1010423,1,181,181,"$1,055.00",$190.96,$0.00,$0.00
Supplier,Ogden Newspapers,Minot,5/20/22,,,OVOL USA,0635004420220501,Hi-Brite,Inland Brite 72,52 ,279.00 mm,IEP52E1010408,1,179,179,"$1,055.00",$188.85,$0.00,$0.00
Supplier,Ogden Newspapers,Minot,5/20/22,,,OVOL USA,0635004420220501,Hi-Brite,Inland Brite 72,52 ,279.00 mm,IEP52E1010308,1,179,179,"$1,055.00",$188.85,$0.00,$0.00
Supplier,Ogden Newspapers,Minot,5/20/22,,,OVOL USA,0635004420220501,Hi-Brite,Inland Brite 72,52 ,279.00 mm,IEP52E1010228,1,181,181,"$1,055.00",$190.96,$0.00,$0.00
Supplier,Ogden Newspapers,Minot,5/20/22,,,OVOL USA,0635004420220501,Hi-Brite,Inland Brite 72,52 ,279.00 mm,IEP52E1010223,1,181,181,"$1,055.00",$190.96,$0.00,$0.00
Supplier,Ogden Newspapers,Minot,5/20/22,,,OVOL USA,0635004420220501,Hi-Brite,Inland Brite 72,52 ,279.00 mm,IEP52E1010128,1,180,180,"$1,055.00",$189.90,$0.00,$0.00
Supplier,Ogden Newspapers,Minot,5/20/22,,,OVOL USA,0635004420220501,Hi-Brite,Inland Brite 72,52 ,279.00 mm,IEP52E1010123,1,180,180,"$1,055.00",$189.90,$0.00,$0.00
Supplier,Ogden Newspapers,Minot,5/20/22,,,OVOL USA,0635004420220501,Hi-Brite,Inland Brite 72,52 ,279.00 mm,IEP52E1009228,1,179,179,"$1,055.00",$188.85,$0.00,$0.00
