Inventory Report,,,,,,,,,,,,,,,,,Date:  6/5/26  10:15 AM EST   ,,
Inventory Date:  ,,1/1/00 to 5/31/26,,,,,,,,,,,,,,,,,
Account:  ,,Gould,,,,,,,,,,,,,,,,,
Plant:  ,,Webster City,,,,,,,,,,,,,,,,,
Paper Type:  ,,Rolls - All Paper Types,,,,,,,,,,,,,,,,,
Supplier:  ,,All Suppliers,,,,,,,,,,,,,,,,,
Definitions:  ,,Available: Not assigned;  Applied: Assigned but not consumed;  Rejected: Rejected but in plant;  WIP: Work In Process,,,,,,,,,,,,,,,,,
Sorted by:  ,,Printer and Stock Size,,,,,,,,,,,,,,,,,
Ownership,Printer,Plant,Received Date,Issue Date,End User PO#,Supplier,PO Number,Paper Type,Product Name,Grammage (g/m²),Roll Width,Roll ID,Roll Count,Available Quantity,Total Quantity,Price/mt,Cost,Net Price/mt,Net Cost
Supplier,Ogden Newspapers,Webster City,11/6/24,,,OVOL USA,,Hi-Brite,Norbrite 92,74 ,267.00 mm,JX803A,1,332,332,"$1,234.58",$409.88,$0.00,$0.00
Supplier,Ogden Newspapers,Webster City,11/6/24,,,OVOL USA,,Hi-Brite,Norbrite 92,74 ,267.00 mm,JX802,1,330,330,"$1,234.58",$407.41,$0.00,$0.00
Supplier,Ogden Newspapers,Webster City,11/6/24,,,OVOL USA,,Hi-Brite,Norbrite 92,74 ,267.00 mm,JX800A,1,331,331,"$1,234.58",$408.65,$0.00,$0.00
Supplier,Ogden Newspapers,Webster City,3/26/26,,,OVOL USA,6410033202611,Newsprint,Kap Paper Newsprint,45 ,267.00 mm,M346A18171B,1,137,137,$640.10,$87.69,$0.00,$0.00
Supplier,Ogden Newspapers,Webster City,3/26/26,,,OVOL USA,6410033202611,Newsprint,Kap Paper Newsprint,45 ,267.00 mm,M346A18153B,1,136,136,$640.10,$87.05,$0.00,$0.00
Supplier,Ogden Newspapers,Webster City,3/26/26,,,OVOL USA,6410033202611,Newsprint,Kap Paper Newsprint,45 ,267.00 mm,M346A18152B,1,136,136,$640.10,$87.05,$0.00,$0.00
Supplier,Ogden Newspapers,Webster City,3/26/26,,,OVOL USA,6410033202611,Newsprint,Kap Paper Newsprint,45 ,267.00 mm,M346A18151B,1,136,136,$640.10,$87.05,$0.00,$0.00
Supplier,Ogden Newspapers,Webster City,3/26/26,,,OVOL USA,6410033202611,Newsprint,Kap Paper Newsprint,45 ,267.00 mm,M346A18143B,1,137,137,$640.10,$87.69,$0.00,$0.00
Supplier,Ogden Newspapers,Webster City,3/26/26,,,OVOL USA,6410033202611,Newsprint,Kap Paper Newsprint,45 ,267.00 mm,M346A18142B,1,136,136,$640.10,$87.05,$0.00,$0.00
Supplier,Ogden Newspapers,Webster City,3/26/26,,,OVOL USA,6410033202611,Newsprint,Kap Paper Newsprint,45 ,267.00 mm,M346A18141B,1,136,136,$640.10,$87.05,$0.00,$0.00
